disease_omim,disease_doid,disease_name,hp_id,symptom_name,sensitivity,lr_positive,lr_negative,frequency_raw
OMIM:619340,DOID:0070377,developmental and epileptic encephalopathy 96,HP:0011097,Epileptic spasm,0.5,100.0,0.5012662605866761,1/2
OMIM:619340,DOID:0070377,developmental and epileptic encephalopathy 96,HP:0002187,Profound intellectual disability,0.995,10.919455191616494,0.01,1/1
OMIM:619340,DOID:0070377,developmental and epileptic encephalopathy 96,HP:0001518,Small for gestational age,0.5,5.757501940235674,0.5475510999029309,1/2
OMIM:619340,DOID:0070377,developmental and epileptic encephalopathy 96,HP:0032792,Tonic seizure,0.5,100.0,0.5007525006386465,1/2
OMIM:619340,DOID:0070377,developmental and epileptic encephalopathy 96,HP:0011451,Primary microcephaly,0.5,100.0,0.5024614276363467,1/2
OMIM:619340,DOID:0070377,developmental and epileptic encephalopathy 96,HP:0010851,EEG with burst suppression,0.995,100.0,0.01,2/2
OMIM:619340,DOID:0070377,developmental and epileptic encephalopathy 96,HP:0001789,Hydrops fetalis,0.5,7.746231229222462,0.5345006931315971,1/2
OMIM:619340,DOID:0070377,developmental and epileptic encephalopathy 96,HP:0200134,Epileptic encephalopathy,0.995,100.0,0.01,2/2
OMIM:619340,DOID:0070377,developmental and epileptic encephalopathy 96,HP:0002643,Neonatal respiratory distress,0.995,8.104713707595955,0.01,2/2
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0001396,Cholestasis,0.005,0.05320438251217881,1.098206383750338,0/1
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0003112,Abnormal circulating amino acid concentration,0.005,5.0,0.995995995995996,0/3
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0002024,Malabsorption,0.995,19.845061904155873,0.01,2/2
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0001992,Organic aciduria,0.005,0.5792827701411648,1.003662979735187,0/3
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:6001346,Enteric anendocrinosis,0.995,100.0,0.01,3/3
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0001392,Abnormality of the liver,0.995,100.0,0.01,1/1
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0002041,Intractable diarrhea,0.6666666666666666,57.1662503891771,0.33726649898838734,2/3
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0003074,Hyperglycemia,0.6666666666666666,31.108605075152482,0.34063320429556737,2/3
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0031961,Abnormal serum anion gap,0.005,5.0,0.995995995995996,0/1
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0031686,Increased stool alpha1-antitrypsin concentration,0.5,100.0,0.5005005005005005,1/2
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0001508,Failure to thrive,0.995,2.199546100706563,0.01,1/1
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0004918,Hyperchloremic metabolic acidosis,0.995,100.0,0.01,3/3
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0001944,Dehydration,0.995,8.441224720818179,0.01,3/3
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0100806,Sepsis,0.995,39.38090679126213,0.01,1/1
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0001403,Macrovesicular hepatic steatosis,0.995,100.0,0.01,1/1
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0003689,Multiple mitochondrial DNA deletions,0.005,5.0,0.995995995995996,0/2
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0002630,Fat malabsorption,0.995,100.0,0.01,1/1
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0002155,Hypertriglyceridemia,0.005,0.045009636916253204,1.1193450424309899,0/3
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0025130,Decreased small intestinal mucosa lactase level,0.005,5.0,0.995995995995996,0/3
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0003124,Hypercholesterolemia,0.005,0.1403329712825796,1.0317611820892636,0/3
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0003542,Increased circulating pyruvate concentration,0.005,0.10818522955715676,1.0432142649810574,0/2
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0002013,Vomiting,0.995,6.981979660287645,0.01,1/1
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0002151,Increased circulating lactate concentration,0.005,0.044728119585564295,1.120226163530975,0/2
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0001081,Cholelithiasis,0.3333333333333333,9.929891396523535,0.6898231172147655,1/3
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0001281,Tetany,0.995,100.0,0.01,1/1
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0012236,Elevated sweat chloride,0.005,0.08814196214937349,1.0548374138808738,0/3
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0012115,Hepatitis,0.995,28.726532372825705,0.01,1/1
OMIM:610370,DOID:0060779,congenital malabsorptive diarrhea 4,HP:0002748,Rickets,0.995,100.0,0.01,1/1
